review_text,age,rating,positive_feedback_count,division_name,department_name,class_name,recommended_ind
I loved this shirt until the first time i washed it. it shrunk so much it became unwearable. when i returned it the salesperson ,39,1,0,General,Tops,Knits,0
This sweater was unflattering me very boxy and did not fall on me like the model. soft fabric and looks nice off however this on,44,3,0,General,Tops,Sweaters,0
I fell in love with these bottoms at first site. i was a little worried they would not work for me because i'm a curvy size 1214,41,5,2,General,Bottoms,Pants,1
I love the dress!  i purchased this dress to wear on my honeymoon to paris.  it made me feel like a princess walking around the ,34,5,0,General,Dresses,Dresses,1
I fell in love with this dress when i saw it online and got it as soon as it went on sale 25 off. the colors are vibrant and the,46,5,0,General Petite,Dresses,Dresses,1
I consider myself fairly busty 34 d but i didn't have any problems wearing my normal size smallmedium.....i actually went with t,46,5,1,General,Tops,Knits,1
As in super comfortable and a joy to wear. i saw it online and then went to the store to try it on. the moment i put it on i kne,53,5,1,General,Dresses,Dresses,1
I purchased this for travel for a work meeting i paired black slim pants under with heelsi added a long simple necklace and it w,43,5,0,General Petite,Dresses,Dresses,1
I was pleasantly surprised when i received this top in the mail. i expected the top to be more of a tee shirt but it is very sof,57,5,0,General Petite,Tops,Knits,1
I just adore this top! it is so comfy and stylish. i wear it with a little purple cardigan and feel like an iris in bloom. like ,28,4,0,General,Tops,Knits,1
This skirt and top is nothing like the picture. the skirt is black not maroon. top is also black. although the skirt is nice the,50,3,1,General,Bottoms,Skirts,1
I bought this dress on a whim one day even though i wasn't sure where i would wear it but i just had to have it. this dress fits,29,5,0,General,Dresses,Dresses,1
Classy pants that can look casual or sophisticated. my husband loves them on me. for a dinner out i dressed them up with a top f,61,5,0,General Petite,Bottoms,Pants,1
Very pleasantly surprised by this top! it's looser but in a flowy not baggy way. i ordered the m. thevee is just right on me tas,66,5,0,General Petite,Tops,Knits,1
Unfortunately this dress did not work for me like the other reviews. i am 5'8 130lbs and the dress looked like a tent on me size,38,2,6,General,Dresses,Dresses,0
This top would have been better if it had a stretchy  fabric. being large breasted makes this top a little tight. still so prett,55,5,1,General Petite,Tops,Knits,1
I ordered this shirt online without seeing it in person and it is great! it is true to size if not slightly loose fitting and a ,36,5,0,General,Tops,Knits,1
I bought a size small 5'6  130lbs. it was baggy everywhere so i added a belt similar to the model and it did help some but the p,38,4,0,General,Bottoms,Pants,1
Flattering comfortable and a fantastically versatile color and style. if you'd like the garment to fit about how it does on the ,39,5,4,General,Tops,Knits,1
In retailer's defense silk chiffon in general is super fragile. got the top in turquoise and the color and design are beautiful!,34,5,0,General Petite,Tops,Blouses,1
